Transaction_ID,Items
1,"Pasta, Cookies, Eggs, Cereal, Bananas"
2,"Eggs, Juice, Chicken, Cookies"
3,"Cheese, Chicken, Bananas, Butter"
4,"Chips, Bread, Fish"
5,"Butter, Milk, Cookies, Beef, Yogurt, Juice"
6,"Bread, Yogurt, Tomatoes, Cereal, Milk, Shampoo"
7,"Cheese, Apples, Tomatoes, Bananas, Cookies"
8,"Fish, Milk"
9,"Chips, Beef"
10,"Cheese, Shampoo, Chicken"
11,"Juice, Cookies, Chips"
12,"Butter, Pasta, Tomatoes"
13,"Beef, Bread, Milk, Eggs, Pasta, Cereal"
14,"Fish, Cheese, Beef, Bread"
15,"Pasta, Rice"
16,"Yogurt, Butter"
17,"Butter, Bananas, Chips, Apples"
18,"Rice, Yogurt, Eggs, Cheese, Apples, Fish"
19,"Chicken, Cereal"
20,"Juice, Chips, Milk, Eggs, Soap, Beef"
21,"Rice, Juice, Yogurt, Cereal, Tomatoes"
22,"Soap, Milk, Fish"
23,"Cheese, Bananas, Tomatoes"
24,"Cookies, Bread, Rice, Milk"
25,"Butter, Cookies, Soap, Bread, Apples"
26,"Bread, Milk, Tomatoes"
27,"Yogurt, Bread, Cookies, Shampoo, Cereal"
28,"Bananas, Apples, Juice, Fish, Pasta"
29,"Juice, Bread, Beef"
30,"Yogurt, Eggs, Apples, Pasta, Chicken, Fish"
31,"Cheese, Beef, Bread"
32,"Pasta, Bread, Milk"
33,"Butter, Milk"
34,"Bread, Soap, Shampoo, Yogurt, Bananas"
35,"Rice, Bananas, Shampoo, Chicken"
36,"Rice, Soap, Tomatoes, Cookies, Bread"
37,"Bananas, Bread, Shampoo"
38,"Cheese, Chicken, Apples"
39,"Bananas, Butter, Fish, Beef, Bread, Tomatoes"
40,"Cereal, Butter"
41,"Eggs, Juice"
42,"Fish, Cookies, Shampoo, Bananas, Bread, Eggs"
43,"Tomatoes, Juice"
44,"Butter, Milk, Rice, Eggs, Cereal"
45,"Soap, Tomatoes"
46,"Juice, Chicken, Cheese, Tomatoes, Butter, Yogurt"
47,"Cereal, Soap, Shampoo, Cookies, Tomatoes, Bread"
48,"Fish, Beef, Cheese, Shampoo, Milk, Juice"
49,"Beef, Rice, Eggs, Chicken, Chips"
50,"Rice, Chicken, Butter"
51,"Cereal, Tomatoes, Eggs"
52,"Chips, Bread"
53,"Juice, Shampoo, Soap"
54,"Juice, Shampoo, Eggs, Tomatoes, Rice, Cereal"
55,"Apples, Shampoo, Yogurt"
56,"Chicken, Beef"
57,"Butter, Chips, Bananas, Fish, Bread"
58,"Fish, Juice, Bananas"
59,"Cookies, Cheese"
60,"Beef, Shampoo, Cereal, Apples"
61,"Chips, Fish"
62,"Bread, Cookies, Rice, Milk, Pasta"
63,"Eggs, Rice, Cookies, Apples"
