NumWords,NumLinks,NumSpecialChars,NumUppercaseWords,IsSpam
107,1,25,8,1
440,9,33,8,1
353,0,44,39,1
275,7,5,16,1
111,0,36,0,1
76,8,32,24,1
193,5,21,42,1
25,6,20,39,1
107,9,5,41,1
126,6,5,24,1
471,9,47,38,1
219,2,3,34,1
335,1,29,2,1
463,8,10,49,1
92,7,29,36,1
377,9,30,43,1
104,6,23,43,1
364,8,8,29,1
156,3,2,37,1
135,3,30,33,1
154,0,39,11,1
313,7,36,18,1
262,2,35,36,1
348,6,23,43,1
496,1,30,48,1
418,1,5,16,1
298,6,1,9,1
390,5,19,48,1
196,2,27,46,1
448,8,10,11,1
281,9,3,15,1
165,5,14,23,1
464,9,5,18,1
318,9,48,7,1
26,5,29,30,1
257,0,37,20,1
240,3,1,16,1
349,9,14,22,1
53,5,10,36,1
479,5,7,15,1
63,4,25,5,1
174,0,44,7,1
480,7,43,24,1
192,4,4,17,1
468,4,5,24,1
275,6,25,11,1
194,3,3,14,1
450,5,18,25,1
179,3,19,40,1
450,2,32,44,1
55,6,19,25,1
368,7,48,46,1
59,3,11,31,1
248,1,46,9,1
324,9,0,15,1
135,2,25,6,1
489,0,13,16,1
311,7,37,22,1
139,2,36,25,1
25,9,10,20,1
333,6,35,21,1
171,9,12,6,1
278,4,42,13,1
392,9,2,14,1
93,4,32,6,1
320,6,5,8,1
18,8,49,47,1
246,4,9,7,1
269,0,4,49,1
350,9,22,22,1
57,9,9,28,1
390,0,43,17,1
344,1,1,30,1
96,5,12,29,1
371,8,39,38,1
448,7,1,34,1
459,4,19,17,1
432,0,0,41,1
268,6,36,38,1
435,4,8,16,1
39,5,16,13,1
210,6,8,30,1
85,2,10,23,1
424,9,14,34,1
54,2,23,43,1
364,4,37,44,1
392,5,34,33,1
6,8,29,2,1
394,4,30,36,1
58,0,48,42,1
110,3,4,39,1
264,4,43,25,1
314,9,49,22,1
481,9,13,43,1
195,4,10,38,1
406,6,8,14,1
222,3,33,48,1
48,0,11,3,1
166,4,34,28,1
206,6,34,21,1
450,9,0,24,1
488,9,39,12,1
274,5,21,17,1
355,4,28,32,1
308,3,7,15,1
275,1,10,44,1
460,3,40,41,1
466,9,36,43,1
219,9,13,1,1
256,2,29,34,1
194,9,34,41,1
300,0,20,33,1
217,7,36,29,1
212,4,4,12,1
241,3,18,12,1
342,7,13,17,1
371,6,25,31,1
57,1,3,31,1
284,0,24,34,1
414,3,44,38,1
221,7,41,45,1
256,1,24,28,1
192,2,17,48,1
384,0,39,28,1
497,0,7,43,1
45,2,38,15,1
161,4,39,43,1
19,2,13,46,1
305,0,31,9,1
69,0,37,29,1
349,7,32,24,1
331,9,22,38,1
13,1,14,19,1
348,2,32,4,1
133,1,24,0,1
496,2,16,29,1
140,6,32,48,1
476,0,46,2,1
67,9,1,44,1
143,7,13,13,1
85,9,39,29,1
396,9,39,49,1
167,9,38,3,1
423,1,5,17,1
293,2,5,36,1
383,8,2,24,1
265,6,6,47,1
494,3,7,0,1
235,9,41,45,1
45,4,14,14,1
32,1,46,8,1
139,7,28,14,1
205,3,32,48,1
332,8,29,23,1
272,4,38,3,1
422,8,26,11,1
37,3,35,36,1
52,9,28,36,1
411,4,37,42,1
66,8,32,5,1
220,7,36,38,1
297,2,26,45,1
103,0,32,23,1
176,2,3,10,1
364,3,21,12,1
218,1,1,33,1
479,0,9,24,1
39,6,4,6,1
453,7,9,3,1
231,6,32,7,1
105,4,37,19,1
435,0,12,28,1
466,6,30,44,1
135,6,46,45,1
261,8,35,9,1
9,2,44,42,1
222,8,23,33,1
259,0,14,25,1
402,0,28,40,1
363,3,7,48,1
287,8,4,2,1
397,5,28,5,1
211,2,46,4,1
19,0,3,4,0
350,3,11,46,1
46,8,44,22,1
384,2,1,48,1
465,8,26,8,1
183,6,30,34,1
67,3,35,19,1
356,2,35,48,1
235,9,25,41,1
245,4,42,34,1
56,4,26,49,1
100,2,4,17,1
